:START_ID,weight:float,:END_ID,:TYPE
0,2000.0,1,CO_OCCUR_WITH
1,2000.0,0,CO_OCCUR_WITH
0,1949.0,2,CO_OCCUR_WITH
2,1949.0,0,CO_OCCUR_WITH
0,617.0,3,CO_OCCUR_WITH
3,617.0,0,CO_OCCUR_WITH
0,913.5,4,CO_OCCUR_WITH
4,913.5,0,CO_OCCUR_WITH
0,778.0,5,CO_OCCUR_WITH
5,778.0,0,CO_OCCUR_WITH
0,708.5,6,CO_OCCUR_WITH
6,708.5,0,CO_OCCUR_WITH
0,443.5,7,CO_OCCUR_WITH
7,443.5,0,CO_OCCUR_WITH
0,235.0,8,CO_OCCUR_WITH
8,235.0,0,CO_OCCUR_WITH
0,346.0,9,CO_OCCUR_WITH
9,346.0,0,CO_OCCUR_WITH
0,205.0,10,CO_OCCUR_WITH
10,205.0,0,CO_OCCUR_WITH
0,225.0,11,CO_OCCUR_WITH
11,225.0,0,CO_OCCUR_WITH
0,184.0,12,CO_OCCUR_WITH
12,184.0,0,CO_OCCUR_WITH
0,122.5,13,CO_OCCUR_WITH
13,122.5,0,CO_OCCUR_WITH
0,98.0,14,CO_OCCUR_WITH
14,98.0,0,CO_OCCUR_WITH
0,118.5,15,CO_OCCUR_WITH
15,118.5,0,CO_OCCUR_WITH
0,90.0,16,CO_OCCUR_WITH
16,90.0,0,CO_OCCUR_WITH
0,145.5,17,CO_OCCUR_WITH
17,145.5,0,CO_OCCUR_WITH
0,298.0,18,CO_OCCUR_WITH
18,298.0,0,CO_OCCUR_WITH
0,105.5,19,CO_OCCUR_WITH
19,105.5,0,CO_OCCUR_WITH
0,102.0,20,CO_OCCUR_WITH
20,102.0,0,CO_OCCUR_WITH
0,36.5,21,CO_OCCUR_WITH
21,36.5,0,CO_OCCUR_WITH
0,59.5,22,CO_OCCUR_WITH
22,59.5,0,CO_OCCUR_WITH
0,128.0,23,CO_OCCUR_WITH
23,128.0,0,CO_OCCUR_WITH
0,263.5,24,CO_OCCUR_WITH
24,263.5,0,CO_OCCUR_WITH
0,118.0,25,CO_OCCUR_WITH
25,118.0,0,CO_OCCUR_WITH
0,76.5,26,CO_OCCUR_WITH
26,76.5,0,CO_OCCUR_WITH
0,106.5,27,CO_OCCUR_WITH
27,106.5,0,CO_OCCUR_WITH
0,92.0,28,CO_OCCUR_WITH
28,92.0,0,CO_OCCUR_WITH
0,42.5,29,CO_OCCUR_WITH
29,42.5,0,CO_OCCUR_WITH
